Address,Year Built,Community,Management Company,Fee includes,Amenities,Condo Fee,Beds,Baths,Price,Link
"9-1126-C Klondike Rd,Kanata, ON K2K 0H2",2013,Morgans Grant/south March,CONDOMINUM MANAGEMENT GROUP,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Snow Removal",,$296.20,0 + 2,2.5,"$489,800",https://www.redfin.com/on/ottawa/1126-Klondike-Rd-K2K-1X7/home/150155816
"71 Robson Crt Unit 1A,Kanata, ON K2K 2W1",2001,Kanata Lakes,Stellar Property Mgmt,"Building Insurance, Caretaker, Heat, Management Fee, Reserve, Fund Allocation, Snow Removal, Water/Sewer","Elevator, Storage Lockers",$697.19,2,2,"$605,000",https://www.redfin.com/on/ottawa/71-Robson-Crt-K2K-2W1/unit-1A/home/150169501
"142 Salter Cres,Kanata, ON K2K 1Y8",1976,Beaverbrook,CMG- Elizabeth Marples-Ext 231,"Building Insurance, General Maintenance and Repair, Management, Fee, Recreation Facilities, Snow Removal, Water/Sewer",Outdoor Pool,$490,2 + 1,1.5,"$425,000",https://www.redfin.com/on/ottawa/142-Salter-Cres-K2K-1Y8/home/150172196
"1507 Campeau Dr,Ottawa, ON K2K 3E6",2004,Village Green,Self Managed,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee",Balcony,$479,2,2.5,"$602,550",https://www.redfin.com/on/ottawa/1507-Campeau-Dr-K2K/home/150177598
"221 Petrie Lane,Ottawa, ON K2K 1Z5",1977,Beaverbrook,Condo Management Group,"Building Insurance, Management Fee, Water/Sewer",,$490,3,1.5,"$432,000",https://www.redfin.com/on/ottawa/221-Petrie-Lane-K2K-1Z5/home/150178298
"2 Reaney Crt,Kanata, ON K2K 1W8",1975,Beaverbrook,CMG - Condominium Management G,"General Maintenance and Repair, Insurance, Management Fee, Snow, Removal, Water/Sewer",Outdoor Pool,$500,3,1.5,"$465,000",https://www.redfin.com/on/ottawa/2-Reaney-Crt-K2K-1W8/home/150178498
"54 Robson Crt,Kanata, ON K2K 2W1",1995,Kanata Lakes,MJM Management,"Building Insurance, Caretaker, Management Fee",,$389.97,2,2,"$560,000",https://www.redfin.com/on/ottawa/54-Robson-Crt-K2K-2W1/home/150179157
"7 Bethune Way,Kanata, ON K2K 1C1",1975,Beaverbrook,Condo Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$621.90,3,2,"$397,500",https://www.redfin.com/on/ottawa/7-Bethune-Way-K2K-1C5/home/150179296
"7 Bethune Way,Kanata, ON K2K 1C1",1995,Kanata Lakes,OTTAWA-CARLETON CONDOMINIUM CO,"Building Insurance, Caretaker, Management Fee",,$531.99,2,2,"$550,000",https://www.redfin.com/on/ottawa/114-Robson-Crt-K2K-2W1/home/150179330
"5 Bethune Way,Kanata, ON K2K 1C1",1975,Beaverbrook,Sentinal Management.,"Building Insurance, Landscape, Management Fee, Snow Removal,, Water/Sewer",,$621.90,3,2,"$410,000",https://www.redfin.com/on/ottawa/5-Bethune-Way-K2K-1C5/home/150180514
"70 Edenvale Dr 153,Kanata, ON K2K 3N7",2004,"Beaverbrook, Kanata",Premiere Property,"Caretaker, Common Area Hydro, Insurance, Management Fee,, Water/Sewer",,$380,0 + 2,1.5,"$457,500",https://www.redfin.com/on/ottawa/70-Edenvale-Dr-K2K-3N7/unit-153/home/150183062
"960 Teron Rd 906,Ottawa, ON K2K 2B6",1987,Beaverbrook,EOPMG,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Snow Removal, Water/Sewer","Elevator, Exercise Centre, Outdoor Pool, Party Room, Racquet, Courts, Sauna, Tennis Court(S)",$769.28,2,2,"$330,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-906/home/150183718
"960 Teron Rd 305,Kanata, ON K2K 2B6",1984,Beaverbrook,Eastern Ontario Property Manag,"Amenities, Garbage Removal, General Maintenance and Repair,, Insurance, Landscape, Management Fee, Recreation Facilities, Reserve Fund, Allocation, Snow Removal, Water/Sewer","Exercise Centre, Outdoor Pool, Party Room, Racquet Courts, Sauna,, Security, Tennis Court(S)",$854.85,2,1.5,"$315,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-305/home/150184035
"960 Teron Rd 618,Ottawa, ON K2K 2B6",1984,Beaverbrook,Eastern ON Corp Mgmt Group,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Snow Removal, Water/Sewer","Exercise Centre, Outdoor Pool, Party Room, Racquet Courts, Sauna,, Storage Lockers, Tennis Court(S)",$769.28,2,2,"$392,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-618/home/150184579
"960 Teron Rd 315,Ottawa, ON K2K 2B6",1984,Beaverbrook,EOPMG,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Recreation Facilities, Snow Removal","Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Recreation Facilities, Snow Removal",$769,2,2,"$315,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-315/home/150190572
"960 Teron Rd 402,Kanata, ON K2K 2B6",1987,Beaverbrook,Eastern ON Property Managment,"Amenities, Building Insurance, Caretaker, Garbage Removal,, General Maintenance and Repair, Management Fee, Recreation Facilities, Reserve, Fund Allocation, Water/Sewer","Elevator, Exercise Centre, Outdoor Pool, Party Room, Racquet, Courts, Sauna, Tennis Court(S)",$828.96,2,2,"$339,500",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-402/home/150190809
"47 Reaney Crt,Kanata, ON K2K 1W7",1975,Beaverbrook,Condominium Management Group,"Building Insurance, Management Fee, Recreation Facilities, Snow, Removal, Water/Sewer",Outdoor Pool,$500,4,1.5,"$435,000",https://www.redfin.com/on/ottawa/47-Reaney-Crt-K2K-1W8/home/150253893
"336 Stowe Crt,Ottawa, ON K2K 1Z6",1977,Beaverbrook,Mega Corp,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Water/Sewer",,$490,3,1.5,"$455,500",https://www.redfin.com/on/ottawa/336-Stowe-Crt-K2K-1Z6/home/150284492
"57 Bethune Way,Kanata, ON K2K 1C4",1975,Beaverbrook,Sentinel Management,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal, Water/Sewer",,$609.71,3,2,"$447,500",https://www.redfin.com/on/ottawa/57-Bethune-Way-K2K-1C4/home/150286246
"23 Chisholm Crt,Ottawa, ON K2K 1E2",1975,Beaverbrook,Sentinel,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$609.71,3,2.5,"$460,000",https://www.redfin.com/on/ottawa/23-Chisholm-Crt-K2K-1E2/home/150286277
"225 Petrie Lane,Kanata, ON K2K 1Z5",1975,Beaverbrook,Condominium Management Group,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Landscape, Snow Removal, Water/Sewer",Pool,$455,3,1.5,"$425,000",https://www.redfin.com/on/ottawa/225-Petrie-Lane-K2K-1Z5/home/150287155
"148 Salter Cres,Ottawa, ON K2K 1Y8",1976,Beaverbrook,CMG,"Building Insurance, General Maintenance and Repair, Management, Fee, Recreation Facilities, Snow Removal, Water/Sewer",Outdoor Pool,$490,2 + 1,1.5,"$445,000",https://www.redfin.com/on/ottawa/148-Salter-Cres-K2K-1Y8/home/150297334
"118 Robson Crt,Kanata, ON K2K 2W1",1995,Kanata Lakes,Stellar Property Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Management Fee, Reserve Fund Allocation",Balcony,$395,2,1,"$490,000",https://www.redfin.com/on/ottawa/118-Robson-Crt-K2K-2W1/home/150298076
"1 Chisholm Crt,Ottawa, ON K2K 1E1",1975,Beaverbrook,Sentinel,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",,$621.90,3,2,"$400,000",https://www.redfin.com/on/ottawa/1-Chisholm-Crt-K2K-1E1/home/150329744
"32 Jackson Crt,Kanata, ON K2K 1B7",1974,Beaverbrook,CMG,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Water/Sewer",Outdoor Pool,$590,4,1.5,"$650,000",https://www.redfin.com/on/ottawa/32-Jackson-Crt-K2K-1B7/home/150398259
"13 Jackson Crt,Ottawa, ON K2K 1B6",1974,Beaverbrook,CMG- Stacey Malcolm x 134,"Amenities, Building Insurance, General Maintenance and Repair,, Management Fee, Recreation Facilities, Water/Sewer",Outdoor Pool,$590,3,1.5,"$600,000",https://www.redfin.com/on/ottawa/13-Jackson-Crt-K2K-1E5/home/150404155
"70 Edenvale Dr 109,Ottawa, ON K2K 3N7",2003,Beaverbrook,Premier,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",Balcony,$335,0 + 2,1.5,"$500,000",https://www.redfin.com/on/ottawa/70-Edenvale-Dr-K2K-3N7/unit-109/home/150410597
"70 Edenvale Dr 113,Kanata, ON K2K 3N7",2003,Beaverbrook,Premier Property Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$285,0 + 2,1.5,"$543,000",https://www.redfin.com/on/ottawa/70-Edenvale-Dr-K2K-3N7/unit-113/home/150410693
"70 Edenvale Dr 111,Ottawa, ON K2K 3N7",2003,Beaverbrook,Premiere Property,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$285,2,1.5,"$535,000",https://www.redfin.com/on/ottawa/70-Edenvale-Dr-K2K-3N7/unit-111/home/150410732
"70 Edenvale Dr 181,Kanata, ON K2K 3N6",2006,Beaverbrook - Village Green,Premier Property Mnagement,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Water/Sewer",None,$285,0 + 2,1.5,"$510,000",https://www.redfin.com/on/ottawa/70-Edenvale-Dr-K2K-3N7/unit-181/home/150411017
"960 Teron Rd 819,Kanata, ON K2K 2B6",1984,Beaverbrook,EOPMG,"Amenities, Building Insurance, Caretaker, Management Fee,, Reserve Fund Allocation, Water/Sewer","Amenities, Building Insurance, Caretaker, Management Fee,, Reserve Fund Allocation, Water/Sewer",$769.28,2,2,"$337,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-819/home/150411804
"960 Teron Rd 502,Ottawa, ON K2K 2B6",1984,Beaverbrook,EOPMG,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Recreation Facilities, Snow Removal","Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Recreation Facilities, Snow Removal",$828.96,2,2,"$325,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-502/home/150418757
"960 Teron Rd 316,Kanata, ON K2K 2B6",1984,Beaverbrook,EOPMG,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Insurance, Management Fee, Recreation Facilities, Snow Removal","Elevator, Exercise Centre, Outdoor Pool, Racquet Courts, Sauna,, Tennis Court(S), Workshop",$740.54,2,1.5,"$300,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-316/home/150418901
"960 Teron Rd 320,Ottawa, ON K2K 2B6",1984,Beaverbrook,Eastern ON Corp Mgmt Group,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Snow Removal, Water/Sewer","Exercise Centre, Outdoor Pool, Party Room, Racquet Courts, Sauna,, Storage Lockers, Tennis Court(S)",$987.85,3,2,"$408,000",https://www.redfin.com/on/ottawa/960-Teron-Rd-K2K-2B6/unit-320/home/150419522
"30 Argent Pvt,Kanata, ON K2K 0H2",2013,Klondike Crossing,CMG Condominium Management Grp,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Snow Removal",,$334.17,2,2.5,"$550,000",https://www.redfin.com/on/ottawa/30-Argent-Pvt-K2K-3A6/home/150423641
"70 Carmichael Crt,Kanata, ON K2K 1K2",1972,Beaverbrook,CMG,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities","Outdoor Pool, Playground",$497,3,2.5,"$510,000",https://www.redfin.com/on/ottawa/70-Carmichael-Crt-K2K-1K2/home/150425263
"147 Rutherford Crt,Kanata, ON K2K 1N6",1971,Beaverbrook,Rutherford Court,"Building Insurance, Management Fee, Snow Removal, Water/Sewer",,$516,3,1.5,"$440,000",https://www.redfin.com/on/ottawa/147-Rutherford-Crt-K2K-1N6/home/165760940
"30 Peary Way 75,Ottawa, ON K2L 1Z8",1975,Katimavik,CMG,"Building Insurance, Caretaker, Garbage Removal, General, Maintenance and Repair, Management Fee, Recreation Facilities, Water/Sewer",,$480,3,1.5,"$399,900",https://www.redfin.com/on/ottawa/30-Peary-Way-K2L-1Z8/unit-75/home/173674729
"160 Boundstone Way 201,Ottawa, ON K2T 1C5",2020,Kanata Lakes,Condominium Management Group,"Building Insurance, Garbage Removal, Landscape, Management Fee,, Snow Removal","Balcony, Clubhouse, Elevator, Guest Suite, Party Room, Storage, Lockers",$635.79,2,2,"$660,500",https://www.redfin.com/on/ottawa/160-Boundstone-Way-K2T-1C5/unit-201/home/175619910
"280 Herzberg Rd 105,Ottawa, ON K2K 0N8",2020,Morgan's Grant,Sentinel Management,"Management Fee, Storage, Water/Sewer","Elevator, Exercise Centre, Rooftop Terrace, Storage Lockers",$304.72,1,1,"$380,000",https://www.redfin.com/on/ottawa/280-Herzberg-Rd-K2K-1X7/unit-105/home/176186168
"129 Salter Cres 43,Kanata, ON K2K 1Y8",1976,Beaverbrook,CMG,"Building Insurance, General Maintenance and Repair, Management, Fee, Water/Sewer",Outdoor Pool,$495,2 + 1,1.5,"$380,000",https://www.redfin.com/on/ottawa/129-Salter-Cres-K2K/unit-43/home/176334879
"280 Herzberg Rd 108,Kanata, ON K2K 1X7",2020,Morgans Grant,Sentinal Management,"Amenities, General Maintenance and Repair, Management Fee,, Storage, Water/Sewer","Amenities, General Maintenance and Repair, Management Fee,, Storage, Water/Sewer",$634,2,2,"$700,000",https://www.redfin.com/on/ottawa/280-Herzberg-Rd-K2K-1X7/unit-108/home/176529287
"170 Boundstone Way 304,Ottawa, ON K2T 0M8",2019,Kanata Lakes,Condominium Management Group,"Building Insurance, Management Fee",,$483,2,2,"$595,000",https://www.redfin.com/on/ottawa/170-Boundstone-Way-K2T-1C5/unit-304/home/176978476
"160 Boundstone Way 105,Ottawa, ON K2T 0M8",2020,Richardson Ridge,Condominium Management Group,"Building Insurance, Garbage Removal, Landscape, Management Fee,, Snow Removal","Balcony, Clubhouse, Elevator, Guest Suite, Laundry, Party Room",$557.07,2,2,"$605,000",https://www.redfin.com/on/ottawa/160-Boundstone-Way-K2T-1C5/unit-105/home/177089743
"70 Robson Crt Unit 1C,Ottawa, ON K2K 2W1",1999,Kanata Lakes,Self managed,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation",,$326,2,2,"$600,000",https://www.redfin.com/on/ottawa/70-Robson-Crt-K2K-2W1/unit-1C/home/177152072
"280 Herzberg Rd 205,Ottawa, ON K2K 0N8",2020,South March,Sentinel Managament,"Building Insurance, Management Fee, Recreation Facilities,, Water/Sewer","Elevator, Exercise Centre, Patio, Recreation Centre, Rooftop, Terrace, Storage Lockers",$364.37,1,1,"$450,000",https://www.redfin.com/on/ottawa/280-Herzberg-Rd-K2K-1X7/unit-205/home/177257231
"325 Eldorado Pvt Unit B,Kanata, ON K2K 0N9",2021,Morgans Grant/south March,APOLLO Property Management,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Reserve Fund Allocation","Balcony, Water View",$180.62,2,1.5,"$550,000",https://www.redfin.com/on/ottawa/325-Eldorado-Pvt-K2K-0N9/unit-B/home/177921154
"305 Eldorado Pvt Unit A,Ottawa, ON K2K 0N9",2020,South March,Apollo Property Management,"Building Insurance, Landscape, Snow Removal",,$163,0 + 2,1.5,"$515,000",https://www.redfin.com/on/ottawa/305-Eldorado-Pvt-K2K-0N9/unit-A/home/178047147
"2 Parkway Pky 304,Ottawa, ON K2K 0J4",2017,Beaverbrook,Central Integral,"Amenities, Building Insurance, Garbage Removal, General, Maintenance and Repair, Heat, Landscape, Management Fee, Snow Removal,, Water/Sewer","Balcony, Storage Lockers","$1,090",2,2,"$712,000",https://www.redfin.com/on/ottawa/2-The-Pky-K2K-2B6/unit-304/home/178202506
"280 Herzberg Rd 302,Ottawa, ON K2K 1X7",2020,Kanata North,Sentinel Management,"Amenities, Building Insurance, Management Fee, Water/Sewer","Amenities, Building Insurance, Management Fee, Water/Sewer",$400.32,1,1,"$495,000",https://www.redfin.com/on/ottawa/280-Herzberg-Rd-K2K-1X7/unit-302/home/178309048
"4 Mcclintock Way 4,Ottawa, ON K2L 2A2",1979,Katimavik,CARLETON,"Management Fee, Other (See Remarks), Water/Sewer",,$491.32,3,1.5,"$517,500",https://www.redfin.com/on/ottawa/4-McClintock-Way-K2L-2A4/unit-4/home/178440896
"2 The Parkway Pky 407,Ottawa, ON K2K 0J4",2017,Beaverbrook,Central Integral,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Management Fee, Reserve Fund Allocation, Water/Sewer","Balcony, Elevator, Exercise Centre, Guest Suite, Party Room,, Storage Lockers",$866.90,2,2,"$625,000",https://www.redfin.com/on/ottawa/2-The-Pky-K2K-0J4/unit-407/home/178645462
"160 Rutherford Crt 4,Ottawa, ON K1K 1N6",1970,Beaverbrook,condo management group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$542.43,4,2,"$460,000",https://www.redfin.com/on/ottawa/160-Rutherford-Crt-K2K-1N6/unit-4/home/178736871
